Year,ParasNo,Paragraphs,Clean_Text,scores,Sentiment Score,Sentiment
2004_eng.txt,10,"It's a unique challenge leading Singapore now, in 2004, because Singapore is at a crossroad.  It's a different world out there. It's a post-Cold War world.  What does that mean?  It means there's one hyperpower, the United States.  There's no two superpowers, it's not a multipolar world, it's one hyperpower.  China is rising, India is opening up, Southeast Asia is also growing in transition, but reasonably optimistic overall.  And one major reality out there is the war on terrorism which is going to continue for a long time to come. ",it s a unique challenge leading singapore now  in  because singapore is at a crossroad   it s a different world out there  it s a post cold war world   what does that mean   it means there s one hyperpower  the united states   there s no two superpowers  it s not a multipolar world  it s one hyperpower   china is rising  india is opening up  southeast asia is also growing in transition  but reasonably optimistic overall   and one major reality out there is the war on terrorism which is going to continue for a long time to come,"{'neg': 0.159, 'neu': 0.767, 'pos': 0.074, 'compound': -0.9091}",-0.9091,Negative
2004_eng.txt,11,"In Singapore, this is not just a change of the PMs.  It's a generational change to the post-independence generation.  It's a different generation of Singaporeans, different from the group which fought for independence, different from the group who grew up with independence in the immediate post-independence years who experienced the transformation, saw how Singapore changed, saw the effort and the passion which went into building Singapore, which went into achieving what we have and wanted to pick up and run and carry on with the job.  Now, it's a new generation and it's got to take Singapore another step forward, another level higher. ",in singapore  this is not just a change of the pms   it s a generational change to the post independence generation   it s a different generation of singaporeans  different from the group which fought for independence  different from the group who grew up with independence in the immediate post independence years who experienced the transformation  saw how singapore changed  saw the effort and the passion which went into building singapore  which went into achieving what we have and wanted to pick up and run and carry on with the job   now  it s a new generation and it s got to take singapore another step forward  another level higher,"{'neg': 0.022, 'neu': 0.949, 'pos': 0.029, 'compound': 0.1779}",0.1779,Positive
2004_eng.txt,12,"IV        A fresh, bold approach",iv        a fresh  bold approach,"{'neg': 0.0, 'neu': 0.29, 'pos': 0.71, 'compound': 0.5994}",0.5994,Positive
2004_eng.txt,13,"To do that, we need a fresh and bold approach.  We've been successful, wildly successful.  Otherwise, we wouldn't be sitting here today.  But we can't stand still because the world is changing, our people are changing and so must Singapore and so must the way we govern Singapore. ",to do that  we need a fresh and bold approach   we ve been successful  wildly successful   otherwise  we wouldn t be sitting here today   but we can t stand still because the world is changing  our people are changing and so must singapore and so must the way we govern singapore,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.7391}",0.7391,Positive
2004_eng.txt,14,"To succeed, we have to balance between continuity and change, keeping what is still working and good and strong in our system, which is a lot, and changing the part which is obsolete, discarding the part which is no longer relevant, inventing new pieces, new ideas to deal with new problems and to take advantage of new opportunities and to develop new strengths and strategies to thrive in a different world. ",to succeed  we have to balance between continuity and change  keeping what is still working and good and strong in our system  which is a lot  and changing the part which is obsolete  discarding the part which is no longer relevant  inventing new pieces  new ideas to deal with new problems and to take advantage of new opportunities and to develop new strengths and strategies to thrive in a different world,"{'neg': 0.104, 'neu': 0.698, 'pos': 0.198, 'compound': 0.836}",0.836,Positive
2004_eng.txt,15,"We can never afford to be satisfied with the status quo, even if we are still okay, even if our policies are still working.  People say, ""If it ain't broke, don't fix it"".  I say, if it ain't broke, better maintain it, lubricate it, inspect it, replace it, upgrade it, try something better and make it work better than before. ",we can never afford to be satisfied with the status quo  even if we are still okay  even if our policies are still working   people say   if it ain t broke  don t fix it    i say  if it ain t broke  better maintain it  lubricate it  inspect it  replace it  upgrade it  try something better and make it work better than before,"{'neg': 0.079, 'neu': 0.732, 'pos': 0.189, 'compound': 0.7783}",0.7783,Positive
2004_eng.txt,16,"I was a member of Chok Tong's team and I contributed to many of Chok Tong's policies.  These are sound policies, but we must always be prepared to look at them again, we must never be trapped by what we have and we must update them and conceive new ideas to go ahead.  And this is true not just of the government but also of Singapore, also of society.",i was a member of chok tong s team and i contributed to many of chok tong s policies   these are sound policies  but we must always be prepared to look at them again  we must never be trapped by what we have and we must update them and conceive new ideas to go ahead   and this is true not just of the government but also of singapore  also of society,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.8662}",0.8662,Positive
2004_eng.txt,17,"The Ministry of Education recently did a survey of CEOs and employers. They wanted to know how the employers looked at the output from our schools, looked at the young generation of people who are coming out from school, universities, working, what are their strengths and weaknesses.  And they made many observations, but it boiled down basically to one key point which I think we know at the bottom of our hearts, sometimes we don't articulate it, and it is this – we are so capable, we are so efficient, we are so comfortable that we stick with what we have tried and tested and found working and we are reluctant to take risks and try new things.  And that is a weakness.  It's a weakness which we have to overcome.",the ministry of education recently did a survey of ceos and employers  they wanted to know how the employers looked at the output from our schools  looked at the young generation of people who are coming out from school  universities  working  what are their strengths and weaknesses   and they made many observations  but it boiled down basically to one key point which i think we know at the bottom of our hearts  sometimes we don t articulate it  and it is this   we are so capable  we are so efficient  we are so comfortable that we stick with what we have tried and tested and found working and we are reluctant to take risks and try new things   and that is a weakness   it s a weakness which we have to overcome,"{'neg': 0.096, 'neu': 0.788, 'pos': 0.116, 'compound': 0.7083}",0.7083,Positive
2004_eng.txt,18,"The key to overcoming this is a mindset change.  We have to see opportunities rather than challenges in new situations, we have to be less conventional, we must be prepared to venture and you've got to do this as individuals, we've got to do this as a government and I think we have to do it as a society.  Let me give you some examples of what I mean.  As individuals, let me give you a personal example because this is something which is true of all of us and me, too. ",the key to overcoming this is a mindset change   we have to see opportunities rather than challenges in new situations  we have to be less conventional  we must be prepared to venture and you ve got to do this as individuals  we ve got to do this as a government and i think we have to do it as a society   let me give you some examples of what i mean   as individuals  let me give you a personal example because this is something which is true of all of us and me  too,"{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.765}",0.765,Positive
2004_eng.txt,19,"One day recently, I was coming back to Singapore Changi Airport, Arrival Hall, immigration counters.  The security officer said, ""Walk through"".  I said, ""No, let me queue up and see what it's like"".  So, I came in.  There are about eight counters, right?  ""All Passports"", ""All Passports"", ""All Passports"", ""All Passports"". The last two say ""Singapore Passports Only"".  What shall I do?  The ""All Passports"" counters were all empty.  The ""Singapore Passport"" counters had a long queue.  So, I looked at this -- this doesn't make sense.  Why is everybody doing that?  They should go across.  Then, I thought of it more, I thought maybe, they know something I don't.  So, I joined them at the ""Singapore Passports"" counter.  I stood there for 30 seconds.  I said, ""This doesn't make sense"", went across, sailed through.  The girls smiled at me, beamed, offered me a sweet.  So, I think the pressure to conform, to go with what we're comfortable with -- he's doing it, let's do the same -- it happens to all of us.  I think it's something we have to combat.  Nobody is there, let's go there first, see what happens.  So, that's on the individual level.  I am sure you have examples, but I will just stick to myself today.  ",one day recently  i was coming back to singapore changi airport  arrival hall  immigration counters   the security officer said   walk through    i said   no  let me queue up and see what it s like    so  i came in   there are about eight counters  right    all passports    all passports    all passports    all passports   the last two say  singapore passports only    what shall i do   the  all passports  counters were all empty   the  singapore passport  counters had a long queue   so  i looked at this    this doesn t make sense   why is everybody doing that   they should go across   then  i thought of it more  i thought maybe  they know something i don t   so  i joined them at the  singapore passports  counter   i stood there for seconds   i said   this doesn t make sense   went across  sailed through   the girls smiled at me  beamed  offered me a sweet   so  i think the pressure to conform  to go with what we re comfortable with    he s doing it  let s do the same    it happens to all of us   i think it s something we have to combat   nobody is there  let s go there first  see what happens   so  that s on the individual level   i am sure you have examples  but i will just stick to myself today,"{'neg': 0.032, 'neu': 0.91, 'pos': 0.058, 'compound': 0.621}",0.621,Positive
2004_eng.txt,20,"As a government, we have to rethink all our problems, big and small.  Nothing should ever be set in stone.  We've made big changes recently.  The GST changes is a big one.  The CPF cut was a big one and now, we are working on wage reform. That's another big one which will take some time and this will have a significant impact on our future.  So, we've got to change our policies or look at our policies.  We've got to support entrepreneurs.  We've got to support Singaporeans being spontaneous, being unconventional.  We should not put obstacles in their way. We should help them to succeed. ",as a government  we have to rethink all our problems  big and small   nothing should ever be set in stone   we ve made big changes recently   the gst changes is a big one   the cpf cut was a big one and now  we are working on wage reform  that s another big one which will take some time and this will have a significant impact on our future   so  we ve got to change our policies or look at our policies   we ve got to support entrepreneurs   we ve got to support singaporeans being spontaneous  being unconventional   we should not put obstacles in their way  we should help them to succeed,"{'neg': 0.041, 'neu': 0.83, 'pos': 0.129, 'compound': 0.8585}",0.8585,Positive
2004_eng.txt,21,"Let me give you one example.  These are the Duck and Hippo Tours.  You know what's a Duck Tour?  It's a boat with wheels where you take a ride, you go into the harbour, you sail around, you come back.  The Duck took two years to get a licence -- nearly died.  Very difficult because they went to the LTA (Land Transport Authority).  LTA says, ""Your duck has a propeller, how can it be a car?""  They went to the MPA (Maritime and Port Authority of Singapore).  MPA says, ""Your duck has wheels!""  So, ding-dong, it took two years.  Eventually, we sorted the problem.  The Duck became a success.  So, came the Hippo. The Hippo is a bus with no top, okay?  So, you sit on top, you drive around.  It's just like in London or one of the other Western cities.  Question -- Is the Hippo a bus?  A very important question because if it is not a bus, it is not allowed to stop at a bus-stop.  So, that one we did better.  Six months, we solved the problem.  I think we have to do better than that.",let me give you one example   these are the duck and hippo tours   you know what s a duck tour   it s a boat with wheels where you take a ride  you go into the harbour  you sail around  you come back   the duck took two years to get a licence    nearly died   very difficult because they went to the lta  land transport authority    lta says   your duck has a propeller  how can it be a car    they went to the mpa  maritime and port authority of singapore    mpa says   your duck has wheels    so  ding dong  it took two years   eventually  we sorted the problem   the duck became a success   so  came the hippo  the hippo is a bus with no top  okay   so  you sit on top  you drive around   it s just like in london or one of the other western cities   question    is the hippo a bus   a very important question because if it is not a bus  it is not allowed to stop at a bus stop   so  that one we did better   six months  we solved the problem   i think we have to do better than that,"{'neg': 0.07, 'neu': 0.791, 'pos': 0.14, 'compound': 0.8433}",0.8433,Positive
2004_eng.txt,22,"We also need, as a government, to encourage participation and debate.  We have opened up over the years.  We've got the Speakers' Corner.  We've allowed a lot more discussion.  If you read the newspapers, what the newspapers write, the columnists, the Forum Page writers, the degree of debate is much more than we used to have, or in Parliament.  But I think we can go further. ",we also need  as a government  to encourage participation and debate   we have opened up over the years   we ve got the speakers  corner   we ve allowed a lot more discussion   if you read the newspapers  what the newspapers write  the columnists  the forum page writers  the degree of debate is much more than we used to have  or in parliament   but i think we can go further,"{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.2846}",0.2846,Positive
2004_eng.txt,23,"So, there are two things we are going to do. One, for indoor talks, we are going to do away with licensing.  Right now, if you are going outdoors or indoors, if you want to do a talk, you need a Public Entertainment licence.  Usually, it's approved, it's not a problem, but once in a while, you are slow or the police have reservations, they say, ""No"", but it's very rare.  So now, we've decided we are going to exempt indoor talks from licensing requirements unless they touch on sensitive issues like race and religion.",so  there are two things we are going to do  one  for indoor talks  we are going to do away with licensing   right now  if you are going outdoors or indoors  if you want to do a talk  you need a public entertainment licence   usually  it s approved  it s not a problem  but once in a while  you are slow or the police have reservations  they say   no   but it s very rare   so now  we ve decided we are going to exempt indoor talks from licensing requirements unless they touch on sensitive issues like race and religion,"{'neg': 0.028, 'neu': 0.857, 'pos': 0.115, 'compound': 0.6837}",0.6837,Positive
2004_eng.txt,24,"The second thing we're going to do is to open up the Speakers' Corner where you can go and make any speech you like and we are going to say, ""Well, if you want to go there and have an exhibition, go ahead"".  Once in a while, Think Centre says they want to go to the Speakers' Corner and they want to plant 100 flowers there, let the 100 flowers bloom.  Well, I think go ahead.  They want to water the flowers, go ahead.  They want to turn the flowers down, go ahead.  I mean, free expression as long as you don't get into race and religion and don't start a riot.  It's a signal – speak, speak your voice, be heard, take responsibility for your views and opinions.",the second thing we re going to do is to open up the speakers  corner where you can go and make any speech you like and we are going to say   well  if you want to go there and have an exhibition  go ahead    once in a while  think centre says they want to go to the speakers  corner and they want to plant flowers there  let the flowers bloom   well  i think go ahead   they want to water the flowers  go ahead   they want to turn the flowers down  go ahead   i mean  free expression as long as you don t get into race and religion and don t start a riot   it s a signal   speak  speak your voice  be heard  take responsibility for your views and opinions,"{'neg': 0.027, 'neu': 0.848, 'pos': 0.125, 'compound': 0.7845}",0.7845,Positive
2004_eng.txt,25,"As a society also, we have to be forward-looking.  I asked some young people what they would like me to say tonight and one of them said this – ""Be forward-looking.  Don't let elders deter you by saying it cannot be done or scare you with war stories"".  Maybe, I was telling him war stories because I know him.  I agree that you shouldn't be scared by your elders, but I think you should listen to them, think carefully what their lessons mean in this new day and age and then use those lessons to avoid unnecessary mistakes and solve problems our way today.  But we have to be prepared to accept the diversity of views and to listen to the debate and to have this discussion, always with a view to moving Singaporeforward. ",as a society also  we have to be forward looking   i asked some young people what they would like me to say tonight and one of them said this    be forward looking   don t let elders deter you by saying it cannot be done or scare you with war stories    maybe  i was telling him war stories because i know him   i agree that you shouldn t be scared by your elders  but i think you should listen to them  think carefully what their lessons mean in this new day and age and then use those lessons to avoid unnecessary mistakes and solve problems our way today   but we have to be prepared to accept the diversity of views and to listen to the debate and to have this discussion  always with a view to moving singaporeforward,"{'neg': 0.126, 'neu': 0.784, 'pos': 0.09, 'compound': -0.7469}",-0.7469,Negative
2004_eng.txt,26,"Let me give a controversial example.  It's quite a controversial one.  Some people told me, ""Don't raise it, it’s your first rally speech, very dangerous"", but I'm going to do it anyway.  It's to do with the casino. ",let me give a controversial example   it s quite a controversial one   some people told me   don t raise it  it s your first rally speech  very dangerous   but i m going to do it anyway   it s to do with the casino,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.4582}",-0.4582,Negative
2004_eng.txt,27,"We've said, ""No'' to the casino for a very long time.  I've said ""No"" to the casino for a very long time.  In 1985, we had a recession.  I remember the late Mr Teh Cheang Wan wanted the casino, argued for it.  We said, ""No"".  We didn't proceed.  This time round, we had the ERC (Economic Review Committee).  The Subcommittee has put up the proposal for a casino.  On the ERC, I said, ""No"", a majority of the members said, ""No"".  We didn't recommend it.  ",we ve said   no   to the casino for a very long time   i ve said  no  to the casino for a very long time   in  we had a recession   i remember the late mr teh cheang wan wanted the casino  argued for it   we said   no    we didn t proceed   this time round  we had the erc  economic review committee    the subcommittee has put up the proposal for a casino   on the erc  i said   no   a majority of the members said   no    we didn t recommend it,"{'neg': 0.184, 'neu': 0.788, 'pos': 0.028, 'compound': -0.8957}",-0.8957,Negative
2004_eng.txt,28,"But the subject didn't die and we have to reconsider because the argument comes up, the situation changes. ",but the subject didn t die and we have to reconsider because the argument comes up  the situation changes,"{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.8625}",-0.8625,Negative
2004_eng.txt,29,"Why is the situation different?  Because there are ""cruises to nowhere"", more and more cruises to nowhere.  Some don't even cruise, some anchor nowhere.  You can go to Batam.  I'm told there are 13 down there.  I haven't been there, but Wong Kan Seng has been.  He told me it was by accident, and Singaporeans go there.  So, Singaporeans are already doing this, right? ",why is the situation different   because there are  cruises to nowhere   more and more cruises to nowhere   some don t even cruise  some anchor nowhere   you can go to batam   i m told there are down there   i haven t been there  but wong kan seng has been   he told me it was by accident  and singaporeans go there   so  singaporeans are already doing this  right,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.631}",-0.631,Negative
2004_eng.txt,30,"Then you want tourists. There are millions of tourists because the Indians have money to spend, the Chinese have money to spend.  Every tour group to Singapore goes to Genting.  Macau is opening up.  Now, they have broken the monopoly, new operators, more shows, more games.",then you want tourists  there are millions of tourists because the indians have money to spend  the chinese have money to spend   every tour group to singapore goes to genting   macau is opening up   now  they have broken the monopoly  new operators  more shows  more games,"{'neg': 0.064, 'neu': 0.909, 'pos': 0.027, 'compound': -0.4215}",-0.4215,Negative
2004_eng.txt,31,"If we want to grow our tourism traffic and double the number of tourists to Singapore, we don't just want them to come here because of gambling, but if gambling is one of the things they want to do, then maybe we should allow them to do that in Singapore, find some way to do that and if, as a result of that, I get, over 10 years, double the traffic volume, I think we should think about it. ",if we want to grow our tourism traffic and double the number of tourists to singapore  we don t just want them to come here because of gambling  but if gambling is one of the things they want to do  then maybe we should allow them to do that in singapore  find some way to do that and if  as a result of that  i get  over years  double the traffic volume  i think we should think about it,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.5023}",0.5023,Positive
2004_eng.txt,32,"So, MTI has come with a new proposal, not just a casino, but an integrated resort, entertainment centre.  So, you have shows, you have family entertainment, you have food, restaurants, art, all sorts of things and in the middle, of course, you also have this place. ",so  mti has come with a new proposal  not just a casino  but an integrated resort  entertainment centre   so  you have shows  you have family entertainment  you have food  restaurants  art  all sorts of things and in the middle  of course  you also have this place,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.8126}",0.8126,Positive
2004_eng.txt,33,"Should we say, ""No""?  Well, I think we should take a deep breath and think about it carefully. I know many Singaporeans have expressed concerns and very strong concerns and the religious groups particularly have very strong views and their objections are not irrelevant.  They are valid objections.  It's because of these objections that for so long, we haven't done this.  But I think we shouldn't just say, ""No"".  I think we should consider -¬ can we have the casino and still contain the social problems?  Let's study it.  Let's see if there's some way to do it. ",should we say   no    well  i think we should take a deep breath and think about it carefully  i know many singaporeans have expressed concerns and very strong concerns and the religious groups particularly have very strong views and their objections are not irrelevant   they are valid objections   it s because of these objections that for so long  we haven t done this   but i think we shouldn t just say   no    i think we should consider    can we have the casino and still contain the social problems   let s study it   let s see if there s some way to do it,"{'neg': 0.079, 'neu': 0.847, 'pos': 0.074, 'compound': -0.373}",-0.373,Negative
2004_eng.txt,34,"So, I think what we are going to do is to request for proposals.  Let's put out to say we are going to impose the following restrictions: Singaporeans below a certain income, you don't go.  I mean, if they want to travel all the way to Batam, that's them, but we will not make it easy for people to go broke and ruin their families in Singapore.  But if a millionaire wants to bring another millionaire friend from China or India, I don't think I should say ""no"" to him.  It may help lessen my other taxes.  So, I think we will find a reasonable restriction, draw a line, call for the proposals, test the market.  Let's see what proposals come in.  If it makes sense and people think that this is worth doing commercially, we make a judgment, we proceed.  If it's not worth it, not worth the downside risks, then we will call it off. ",so  i think what we are going to do is to request for proposals   let s put out to say we are going to impose the following restrictions  singaporeans below a certain income  you don t go   i mean  if they want to travel all the way to batam  that s them  but we will not make it easy for people to go broke and ruin their families in singapore   but if a millionaire wants to bring another millionaire friend from china or india  i don t think i should say  no  to him   it may help lessen my other taxes   so  i think we will find a reasonable restriction  draw a line  call for the proposals  test the market   let s see what proposals come in   if it makes sense and people think that this is worth doing commercially  we make a judgment  we proceed   if it s not worth it  not worth the downside risks  then we will call it off,"{'neg': 0.125, 'neu': 0.761, 'pos': 0.114, 'compound': -0.6122}",-0.6122,Negative
